,sizes_2D,hd_min_2D_purePython,dice_min_2D_purePython,hd_std_2D_purePython,dice_std_2D_purePython
0,1,29400.0,48000.0,49707.75,319482.90625
1,121,31400.0,49000.0,10313.6279296875,8556.6328125
2,441,33300.0,55400.0,10261.5087890625,9789.611328125
3,961,36900.0,53100.0,11097.3701171875,27184.697265625
4,1681,41200.0,51800.0,34685.68359375,43157.58203125
5,2601,49900.0,54900.0,17486.16015625,9581.3662109375
6,3721,56300.0,58700.0,15318.7890625,3549.29052734375
7,5041,65000.0,62100.0,26446.974609375,34375.0
8,6561,73400.0,66500.0,17146.779296875,8827.03125
9,8281,84300.0,71800.0,18670.01171875,4629.171875
10,10201,95400.0,78400.0,40107.859375,33266.99609375
11,12321,108100.0,85600.0,22576.134765625,8169.64501953125
12,14641,121700.0,92900.0,37482.7265625,7637.09716796875
13,17161,137000.0,93800.0,29290.734375,34679.0546875
14,19881,153400.0,98600.0,46233.46484375,10525.3427734375
15,22801,170600.0,103700.0,53295.44921875,30764.2265625
16,25921,188600.0,110600.0,48712.97265625,13437.017578125
17,29241,207600.0,124200.0,56848.8515625,32931.45703125
18,32761,229100.0,135400.0,59901.4609375,13403.494140625
19,36481,187200.0,123000.0,40674.453125,209136.796875
20,40401,197600.0,134600.0,59628.5546875,20096.4453125
21,44521,218600.0,143400.0,64486.1875,38167.80859375
22,48841,248900.0,151100.0,49700.34375,23912.5546875
23,53361,240500.0,171400.0,55321.328125,36968.859375
24,58081,260300.0,182200.0,46632.73046875,42647.81640625
25,63001,562400.0,194500.0,91834.2109375,43370.86328125
26,68121,590200.0,168700.0,123175.3203125,28348.171875
27,73441,640500.0,179600.0,90803.5703125,38931.04296875
28,78961,598000.0,176700.0,125021.9140625,39292.109375
29,84681,521200.0,191000.0,104077.5,43140.3125
30,90601,546900.0,200600.0,105728.6328125,49663.875
31,96721,602500.0,199700.0,103041.265625,53576.50390625
32,103041,883800.0,211800.0,133787.890625,66680.421875
33,109561,1192200.0,224100.0,309931.96875,59931.05859375
34,116281,920900.0,239100.0,318262.03125,58493.29296875
35,123201,663000.0,241400.0,1142261.0,59144.25
36,130321,1620800.0,503700.0,553849.9375,93825.2578125
37,137641,1311400.0,488000.0,1236427.375,77367.8515625
38,145161,1529100.0,494300.0,1574183.5,90297.453125
39,152881,1452400.0,480200.0,1438124.25,742063.5625
40,160801,1402400.0,550900.0,1407961.0,713583.0625
41,168921,1462700.0,512400.0,1715839.0,536007.8125
42,177241,1741800.0,513000.0,1538305.5,834582.3125
43,185761,1720000.0,569500.0,1667066.875,1127700.625
44,194481,1890300.0,593200.0,2099231.25,839329.3125
45,203401,1820600.0,582800.0,1635420.625,797554.125
46,212521,2275100.0,567200.0,2088420.625,1210140.875
47,221841,2393500.0,617100.0,1468246.125,80091.359375
48,231361,2615200.0,634100.0,1678386.0,1193898.75
49,241081,2576000.0,632900.0,1878968.375,1019511.4375
50,251001,2499100.0,669800.0,2294995.5,1206847.0
