,size,Scipy_cpu_hd_cpu_min,Scipy_cpu_hd_cpu_std,Scipy_cpu_hd_gpu_min,Scipy_cpu_hd_gpu_std
0,4,91200,25640.073126065767,276800,65985.0501837348
1,529,119400,22043.323229495138,314000,78069.58214311129
2,1936,199100,48899.67878330082,395800,65117.70580848193
3,4225,332700,53965.77189293228,558600,92107.08049737544
4,7569,530700,68890.14259754439,753200,101165.70965124498
5,11664,771200,82229.77303087976,1169700,132697.68660093515
6,16641,1060700,118355.22580283474,1559700,332004.3564003189
7,22500,1392100,140897.63436977926,1967200,438608.55587022007
8,29584,1795800,183341.84982976472,2479700,393080.05637273175
9,37249,2354400,256284.65238004402,3436100,570650.0093546306
10,45796,2892700,314229.0255377278,4097300,446621.9278090922
11,55225,3468100,365991.7047663102,4799400,334309.63678241463
12,66049,4495600,467295.0969175581,5872400,401433.2306688623
13,77284,5285000,537897.6631516445,6782900,408525.65611171845
14,89401,6006200,583049.7722048779,7709500,439377.03223468567
15,102400,7149500,1026828.1492947104,10764600,648470.631098857
16,116964,8200400,1012278.3460494993,10156200,505408.5143029448
17,131769,13684600,1829341.7070470979,13043400,814163.1901981076
18,147456,13442700,1638057.6097801903,14347200,730942.5321174299
19,164025,14815100,1820873.5312718207,15953800,946206.1655537655
20,182329,16188800,2111469.840290559,17992600,733197.0133066282
21,200704,17956800,2114967.025947154,19637300,857807.8404338293
22,219961,19991100,2524130.7944738204,21572900,879777.6340191365
23,240100,21925700,2485019.3757471573,23304000,991246.944718212
24,262144,25483400,2680571.1036635456,27456500,1176867.9048180003
