,sizes_2D,hd_min_2D_purePython_GPU,dice_min_2D_purePython_GPU,hd_std_2D_purePython_GPU,dice_std_2D_purePython_GPU
0,1,49400.0,79000.0,25249148.0,15924.9150390625
1,121,49500.0,80700.0,13660.4326171875,35737.60546875
2,441,49500.0,84300.0,9174.28125,18744.7734375
3,961,51100.0,84100.0,11638.287109375,31827.390625
4,1681,49400.0,79300.0,33762.05859375,20732.798828125
5,2601,49500.0,81000.0,16660.95703125,14775.595703125
6,3721,49800.0,81000.0,14642.865234375,43750.15234375
7,5041,49500.0,81100.0,11010.53125,19643.193359375
8,6561,49900.0,81500.0,35032.31640625,13292.0087890625
9,8281,49200.0,84200.0,17238.97265625,41286.23828125
10,10201,50600.0,83900.0,13388.6943359375,17547.318359375
11,12321,52800.0,81000.0,10560.4140625,17505.259765625
12,14641,51000.0,80700.0,34852.1328125,39286.8984375
13,17161,51000.0,79700.0,12002.3798828125,18175.08203125
14,19881,52600.0,80300.0,9437.5458984375,20054.607421875
15,22801,50900.0,81100.0,12456.109375,37575.48828125
16,25921,50700.0,79900.0,43321.49609375,21831.96875
17,29241,50700.0,80400.0,14945.515625,15780.501953125
18,32761,50700.0,80800.0,17493.392578125,39889.35546875
19,36481,50500.0,80600.0,11379.7177734375,15942.99609375
20,40401,50900.0,80500.0,35584.81640625,14193.453125
21,44521,50700.0,81000.0,21592.00390625,35536.4375
22,48841,50700.0,81100.0,13692.6767578125,26258.35546875
23,53361,50800.0,80200.0,15229.7978515625,24250.681640625
24,58081,51100.0,79100.0,17154.595703125,33832.13671875
25,63001,53000.0,81000.0,13909.6220703125,17578.7578125
26,68121,52600.0,81000.0,13155.3525390625,20544.41796875
27,73441,50800.0,81800.0,38474.96484375,41664.12109375
28,78961,51200.0,80600.0,18214.068359375,16670.61328125
29,84681,51400.0,80400.0,14570.908203125,16696.32421875
30,90601,50900.0,80700.0,33682.8671875,35751.2578125
31,96721,50800.0,81900.0,19894.611328125,25661.310546875
32,103041,51200.0,89500.0,13079.8994140625,29956.939453125
33,109561,51400.0,89700.0,37190.984375,25647.857421875
34,116281,52300.0,89900.0,11362.8798828125,36988.45703125
35,123201,51100.0,84300.0,16567.00390625,23228.345703125
36,130321,50800.0,81100.0,18574.544921875,21508.49609375
37,137641,54300.0,87000.0,17744.7421875,37859.79296875
38,145161,54600.0,87200.0,12241.9873046875,16649.833984375
39,152881,53600.0,87400.0,25650.29296875,37840.390625
40,160801,53100.0,86600.0,15621.9619140625,21700.783203125
41,168921,52400.0,86700.0,11309.5458984375,33121.546875
42,177241,52800.0,87200.0,15208.66796875,32120.6796875
43,185761,53000.0,87600.0,11946.173828125,37173.95703125
44,194481,54100.0,86800.0,34026.19921875,27824.138671875
45,203401,53400.0,86400.0,15628.5009765625,21286.30078125
46,212521,53600.0,86400.0,36410.04296875,35266.84375
47,221841,53300.0,85200.0,15169.07421875,16902.86328125
48,231361,51900.0,87100.0,33671.78515625,18172.251953125
49,241081,51600.0,86200.0,14067.9501953125,41567.59765625
50,251001,51700.0,86300.0,43785.44921875,21959.2421875
