train_hd_metric_dice,valid_hd_metric_dice,all_hd_metric_dice,train_hd_metric_dice_hd,valid_hd_metric_dice_hd,all_hd_metric_dice_hd
76.72218724318748,76.69419795525604,76.70819259922176,74.28407188126612,72.17340230306452,73.22873709216532
75.08040560264158,76.69419795525604,75.88730177894881,68.76913148115747,68.33739825307956,68.55326486711851
75.08040560264158,75.23961722390672,75.16001141327415,45.780298839393254,44.955533585978046,45.36791621268565
67.59261971918058,71.18286310622803,69.3877414127043,37.86761595473477,37.53664875824692,37.70213235649084
26.21077862847479,23.430749027719962,24.820763828097377,29.6071351325245,26.038433132583073,27.822784132553785
19.148150752712727,12.328828005937952,15.73848937932534,24.989234038601452,19.6468827043885,22.318058371494978
19.993118345144097,13.19090595827292,16.59201215170851,18.175770453135588,13.490737563232042,15.833254008183815
13.308118579274442,10.392304845413264,11.850211712343853,10.055102465463822,13.152946437965905,11.604024451714864
8.15963864234487,14.594519519326424,11.377079080835646,9.58165533574871,11.40175425099138,10.491704793370044
5.996580494139561,10.816653826391969,8.406617160265764,11.657452432301344,11.40175425099138,11.52960334164636
12.1418348344986,8.12403840463596,10.13293661956728,7.5541098130163284,10.770329614269007,9.162219713642667
14.13749801475575,19.672315572906,16.904906793830875,9.466534323269672,14.594519519326424,12.030526921298048
11.863029022304985,6.4031242374328485,9.133076629868917,7.137226281000023,10.816653826391969,8.976940053695996
9.215142264573439,10.63014581273465,9.922644038654045,7.621803564841741,13.601470508735444,10.611637036788593
6.618368072582347,8.602325267042627,7.610346669812486,8.128835314413582,10.63014581273465,9.379490563574116
9.536449077761791,9.486832980505138,9.511641029133465,8.781083819527456,12.649110640673518,10.715097230100486
5.250939357205834,8.602325267042627,6.92663231212423,7.10874444281176,16.492422502470642,11.8005834726412
7.036634115240622,9.0,8.018317057620312,9.151251283229918,12.727922061357855,10.939586672293887
4.839579693555812,7.810249675906654,6.324914684731233,5.786921720992719,7.615773105863909,6.701347413428314
6.365171619216786,7.810249675906654,7.08771064756172,7.273261635845314,11.045361017187261,9.159311326516288
5.317698127397135,7.810249675906654,6.563973901651894,6.220370658771231,12.649110640673518,9.434740649722375
5.57086851247934,8.774964387392123,7.172916449935731,6.220771453829197,9.0,7.610385726914599
5.383454433115902,8.602325267042627,6.992889850079264,6.891184245009511,12.409673645990857,9.650428945500185
5.366736233073793,8.774964387392123,7.070850310232958,6.567042033260028,9.0,7.783521016630014
