size,Maurer_cpu_hd_cpu_min,Maurer_cpu_hd_cpu_std,Maurer_cpu_hd_gpu_min,Maurer_cpu_hd_gpu_std,Wenbo_cpu_hd_cpu_min,Wenbo_cpu_hd_cpu_std,Wenbo_gpu_hd_gpu_min,Wenbo_gpu_hd_gpu_std
4096,381800.0,3.0514744980984982e7,2.2518e6,1.415317530785903e8,221600.0,1.8758874963851213e7,748400.0,5.997002816215128e6
32768,1.581e6,214060.1491519757,3.3888e6,2.5231580580782183e6,1.1861e6,81272.65032303693,769100.0,2.056912916115985e6
110592,3.9886e6,1.5026273254465612e6,7.0854e6,3.187643577279377e6,2.6798e6,951230.0846089064,1.5226e6,3.5795911144574466e6
262144,9.0378e6,393294.6906999887,1.01595e7,2.5159599404506898e6,7.0741e6,709831.6291038418,4.6318e6,4.0341218988338253e6
512000,1.6309899999999998e7,9.83136203175947e7,3.1972599999999996e7,1.2803792074585257e7,1.17447e7,2.192678879918628e6,1.65341e7,6.528412878035787e6
884736,2.98459e7,9.338338203812462e7,5.65509e7,9.069219547877105e6,2.23281e7,1.6855669446951728e6,1.22958e7,9.251296016928207e6
1404928,4.60492e7,1.1111603276654856e8,5.785e7,1.0332131516781645e7,3.2690200000000004e7,1.0218212820018013e8,1.35096e7,1.2887395737751665e7
2097152,1.25771e8,9.067669628384276e7,1.397612e8,9.91830580165515e6,6.321889999999999e7,6.281642981603884e6,1.49029e7,1.977042455456133e7
