size,Maurer_cpu_hd_cpu_min,Maurer_cpu_hd_cpu_std,Maurer_cpu_hd_gpu_min,Maurer_cpu_hd_gpu_std,Wenbo_cpu_hd_cpu_min,Wenbo_cpu_hd_cpu_std,Wenbo_gpu_hd_gpu_min,Wenbo_gpu_hd_gpu_std
4,458.6734693877551,2158.3465002221747,174900.0,119942.45462300703,34100.0,567162.6520333336,225700.0,69435.38313939278
529,18000.0,294047.95519978687,271300.0,725634.3183147453,40600.0,551693.269077046,252100.0,289847.99023386056
1936,96300.0,1.2081063917384872e6,450100.0,1.3833577880485938e6,47800.0,658452.0729267164,395000.0,2.8416787769452934e6
4356,177700.0,1.4361048208024313e6,631700.0,2.1779944433012283e6,60200.0,629834.0822286906,282000.0,284725.3160376448
7569,244200.0,1.2506148048147284e6,638300.0,1.4398358018501645e6,93900.0,766254.2644683432,335600.0,257522.50501891904
11664,316500.0,1.0205558219865632e6,751800.0,1.2613830123866838e6,119000.0,537004.2909523998,292800.0,166817.21791049224
16900,440500.0,989645.3918903392,946600.0,1.2067360710028687e6,136500.0,542086.6647482937,309300.0,98929.46871192812
22801,561800.0,1.0522382566616612e6,1.1434e6,1.4105702609141574e6,157400.0,624797.9584642302,242100.0,119771.80020774047
29584,695600.0,1.196831214809122e6,1.3965e6,1.6672397662412724e6,190400.0,751762.67172467,252100.0,127699.96021098587
37249,890900.0,1.6180026897949574e6,1.6061e6,2.7019660969876233e6,248600.0,698480.6619740841,271400.0,171740.53919139557
45796,1.216e6,2.7510295847361e6,1.9911e6,2.751895643507732e6,287600.0,664410.7021821047,225400.0,119945.82302658672
55696,1.3491e6,2.272333744452772e6,2.3604e6,2.4339744860525657e6,327600.0,873734.5322337567,284200.0,990275.301420822
66049,1.7565e6,2.95910964160949e6,3.197e6,2.8401846029566075e6,351600.0,892387.272931952,317900.0,1.126071316974449e6
77284,1.9899e6,2.787085584872618e6,3.7259e6,2.7782453061727276e6,396400.0,910878.5287678534,268900.0,986508.7628076909
90000,2.1979e6,3.0233653176472466e6,4.0123e6,2.913547588841437e6,432200.0,1.0726948589758587e6,308600.0,1.2090603540978814e6
103041,2.5979e6,3.165621287380735e6,4.4612e6,3.048633651903318e6,502100.0,1.0201301437759013e6,638500.0,2.6906771470251954e6
116964,3.0115e6,3.734963803357956e6,5.6265e6,5.584619172486155e6,537800.0,1.0576887021617773e6,238900.0,694739.1265822357
131769,3.5138e6,3.8040795704363924e6,5.7634e6,4.1286048030843413e6,593800.0,1.2327217572408926e6,254400.0,857686.5832576951
147456,3.8267e6,3.7296804818821857e6,6.244e6,3.8717992139262613e6,658100.0,1.39526298304486e6,255600.0,771785.522014307
164836,4.2456e6,3.746923049920878e6,6.886e6,3.6575136268410133e6,742300.0,1.2400009718397057e6,263600.0,726357.9608257976
182329,4.6187e6,3.7585356151661687e6,7.3813e6,3.6264202349356464e6,840800.0,1.3818503024171575e6,253500.0,851804.2911491465
200704,4.9998e6,3.716184304919919e6,8.0961e6,3.8038723052432653e6,961800.0,1.3084098527810506e6,260100.0,752271.1780129279
220900,5.508e6,3.889569395583835e6,8.8176e6,3.932212407648338e6,1.0273e6,1.3999319344135192e6,260900.0,709190.639129369
241081,5.9028e6,3.764509654441813e6,9.609e6,3.6509726294405e6,1.109e6,1.583388402380633e6,252500.0,771380.5528787241
262144,6.3981e6,3.958671826025591e6,1.03887e7,3.963243410609072e6,1.4669e6,1.5825485276932644e6,281400.0,700785.156453722
