train_hd_metric_dice,valid_hd_metric_dice,all_hd_metric_dice,train_hd_metric_dice_hd,valid_hd_metric_dice_hd,all_hd_metric_dice_hd
74.65674080674705,75.9012516365837,75.27899622166538,75.83619235450804,73.9932429347437,74.91471764462588
74.00236711422062,73.5187051028512,73.76053610853592,71.7892381082531,70.16409338115899,70.97666574470605
73.30693205083548,73.5187051028512,73.41281857684334,49.504250314568495,45.67274898667694,47.58849965062272
72.84999970023654,69.12307863514182,70.98653916768919,41.84853898411623,44.384682042344295,43.11661051323026
71.55009759705023,67.86751800382861,69.70880780043942,36.30155495576204,27.80287754891569,32.052216252338866
35.37082172060717,33.03028912982749,34.20055542521733,32.87197286863723,27.331300737432898,30.101636803035063
16.512405011198744,12.083045973594572,14.297725492396658,27.915920476862368,13.490737563232042,20.703329020047207
16.302148022952665,21.095023109728988,18.698585566340824,17.016642860590387,13.74772708486752,15.382184972728954
12.034863865903676,10.246950765959598,11.140907315931637,16.478813492816506,24.657656011875904,20.568234752346207
9.733471627477687,16.792855623746664,13.263163625612176,10.580909825794423,12.529964086141668,11.555436955968045
12.021118025506809,10.770329614269007,11.395723819887909,10.89693494725606,13.490737563232042,12.193836255244051
8.810338641602737,12.409673645990857,10.610006143796797,10.426359948406638,16.30950643030009,13.367933189353364
5.31694150486193,10.44030650891055,7.87862400688624,10.640638119976693,13.490737563232042,12.065687841604367
6.326650003592385,10.295630140987,8.311140072289692,8.909851593110485,8.366600265340756,8.63822592922562
6.860281050860683,9.695359714832659,8.27782038284667,6.895208175582038,5.830951894845301,6.363080035213669
8.033423237122435,10.295630140987,9.164526689054718,8.14528008914727,8.366600265340756,8.255940177244014
6.603493144647382,9.1104335791443,7.856963361895841,7.208430223521448,8.366600265340756,7.787515244431102
8.365912283554135,11.445523142259598,9.905717712906867,7.0621069170486495,8.366600265340756,7.714353591194703
5.217611545343268,9.1104335791443,7.164022562243783,7.886262577301398,8.774964387392123,8.33061348234676
7.525788359745289,9.1104335791443,8.318110969444794,6.660910291162239,7.681145747868608,7.171028019515424
7.50010346581195,9.1104335791443,8.305268522478125,6.49674633124953,8.774964387392123,7.635855359320827
5.936687072527411,9.1104335791443,7.523560325835855,6.052788703146473,8.246211251235321,7.149499977190898
5.936687072527411,9.1104335791443,7.523560325835855,6.07754358154467,8.246211251235321,7.161877416389995
5.88588585146057,9.1104335791443,7.498159715302434,6.101826808823131,8.366600265340756,7.234213537081944
7.777389837547293,10.246950765959598,9.012170301753446,6.111872185485581,7.681145747868608,6.896508966677095
5.046310590210721,9.1104335791443,7.07837208467751,6.6432341455857875,8.660254037844387,7.651744091715088
4.789088778065701,9.1104335791443,6.949761178605,5.837880626104894,5.830951894845301,5.8344162604750975
6.4817396570839305,11.045361017187261,8.763550337135596,4.486338875654814,6.557438524302,5.521888699978407
10.578010177499321,8.366600265340756,9.472305221420038,6.521026243601595,8.660254037844387,7.590640140722991
5.1657052093038445,9.1104335791443,7.138069394224072,5.327563813181362,7.681145747868608,6.504354780524984
6.114711999900729,9.486832980505138,7.800772490202934,6.1663968037856485,8.12403840463596,7.145217604210805
4.231058973916977,9.1104335791443,6.670746276530638,3.7410459561905873,7.681145747868608,5.711095852029597
4.800165600334661,9.1104335791443,6.9552995897394805,5.316452455417301,8.12403840463596,6.720245430026631
5.1271184267570895,9.486832980505138,7.306975703631114,4.278863102123084,7.280109889280518,5.779486495701801
4.807034173730778,9.1104335791443,6.958733876437538,4.7855348418106765,8.12403840463596,6.454786623223319
4.695263424766093,10.04987562112089,7.3725695229434915,3.893899643223955,7.874007874011811,5.883953758617883
4.823608041306924,10.04987562112089,7.436741831213907,4.854952496918018,8.12403840463596,6.489495450776989
4.073073955606775,9.1104335791443,6.591753767375537,3.746873510560876,7.280109889280518,5.5134916999206975
5.656954264249982,11.045361017187261,8.351157640718622,3.8576919143847785,7.874007874011811,5.865849894198295
3.4992330525215154,9.1104335791443,6.304833315832907,4.300546419659846,7.681145747868608,5.990846083764227
4.375535937756409,9.1104335791443,6.742984758450354,4.385573984764778,6.4031242374328485,5.394349111098814
4.391718442212266,9.1104335791443,6.751076010678283,3.8759844652201125,7.280109889280518,5.5780471772503155
12.564429595199549,9.486832980505138,11.025631287852343,4.13739470252587,8.12403840463596,6.130716553580916
4.970397537108788,10.04987562112089,7.510136579114839,3.594422037546358,6.557438524302,5.0759302809241795
4.558834457855977,9.38083151964686,6.969832988751419,3.8759844652201125,7.0,5.437992232610056
3.5153695363699047,9.1104335791443,6.312901557757102,4.094501483712417,8.12403840463596,6.109269944174189
3.409086737601095,9.1104335791443,6.259760158372697,3.394432044552965,7.681145747868608,5.537788896210786
4.895566006089942,10.770329614269007,7.8329478101794745,4.0961006998447065,7.0,5.548050349922353
3.7019799564145472,8.366600265340756,6.034290110877651,3.4187152718314264,7.681145747868608,5.549930509850017
3.3986245150937004,9.695359714832659,6.54699211496318,3.5854150501780175,8.12403840463596,5.854726727406989
22.996444761548723,21.77154105707724,22.38399290931298,3.32842712474619,6.557438524302,4.942932824524095
17.77555315035991,16.522711641858304,17.14913239610911,2.96360202251771,7.681145747868608,5.322373885193159
28.498803896893914,24.779023386727733,26.638913641810824,3.101229586821916,8.831760866327848,5.966495226574882
27.536235493964107,26.153393661244042,26.844814577604076,3.3517279737236456,8.12403840463596,5.7378831891798034
12.139570265305645,8.774964387392123,10.457267326348884,3.1213203435596424,7.3484692283495345,5.234894785954588
6.533330733570117,8.12403840463596,7.328684569103039,2.8784962112572896,7.874007874011811,5.37625204263455
5.372336771170737,8.774964387392123,7.07365057928143,3.0759744582135053,8.12403840463596,5.600006431424733
5.275618737923739,8.774964387392123,7.02529156265793,3.514363506246595,8.12403840463596,5.8192009554412785
4.097581465047442,9.1104335791443,6.604007522095871,3.7943529510352585,7.681145747868608,5.737749349451933
5.450090012059884,9.38083151964686,7.415460765853371,2.784242288714135,8.12403840463596,5.454140346675048
4.530087060659928,9.38083151964686,6.955459290153394,3.2257236812409174,8.366600265340756,5.796161973290836
4.605004410995016,9.38083151964686,6.992917965320938,2.974744871391589,7.3484692283495345,5.161607049870562
4.681471299471568,9.38083151964686,7.031151409559214,3.2119588451128367,7.874007874011811,5.542983359562324
4.201027970509145,9.38083151964686,6.790929745078002,2.597226264265314,8.06225774829855,5.329742006281932
4.537370248456423,9.38083151964686,6.959100884051641,2.943160911312027,8.366600265340756,5.6548805883263915
4.201027970509145,9.38083151964686,6.790929745078002,2.3784962112572896,8.06225774829855,5.220376979777919
4.281196152364652,9.38083151964686,6.831013836005756,2.319479216882342,8.06225774829855,5.190868482590446
4.432580391176292,9.38083151964686,6.906705955411576,3.152591496269932,8.12403840463596,5.638314950452946
4.049643731697505,9.38083151964686,6.715237625672183,2.5590169943749475,8.06225774829855,5.310637371336748
3.638831506456021,9.38083151964686,6.50983151305144,2.603553390593274,8.12403840463596,5.363795897614617
3.6794009214981154,9.38083151964686,6.530116220572488,2.6160254037844384,8.12403840463596,5.370031904210199
3.425999584366505,8.366600265340756,5.89629992485363,2.4920296962671666,8.06225774829855,5.277143722282858
4.1164779995690965,9.38083151964686,6.7486547596079784,2.5995864094170424,8.12403840463596,5.361812407026502
3.355731296280248,9.38083151964686,6.368281407963554,2.9150635094610964,8.06225774829855,5.488660628879822
3.2609969507894947,9.38083151964686,6.3209142352181775,2.7491973143322337,8.06225774829855,5.405727531315391
3.8550902600027195,9.38083151964686,6.61796088982479,2.4125703849682214,7.3484692283495345,4.880519806658878
3.3580551000516055,9.38083151964686,6.369443309849233,2.536566092485493,8.06225774829855,5.299411920392021
3.417072094426553,9.38083151964686,6.398951807036706,2.353553390593274,8.06225774829855,5.207905569445911
3.448462591351765,9.38083151964686,6.414647055499312,1.766123775561495,8.06225774829855,4.914190761930022
3.8259570310031785,9.38083151964686,6.603394275325019,2.457106781186548,8.12403840463596,5.290572592911254
3.142788867148091,9.38083151964686,6.2618101933974755,2.7649639319657267,8.06225774829855,5.413610840132138
2.4335583295518113,9.38083151964686,5.907194924599335,2.4908686469530843,8.06225774829855,5.2765631976258165
3.897969544143117,9.38083151964686,6.639400531894989,2.603553390593274,7.874007874011811,5.238780632302543
3.0294445301223476,9.38083151964686,6.2051380248846035,2.6998445923769,8.366600265340756,5.533222428858828
2.520975839487784,9.38083151964686,5.950903679567322,2.016123775561495,8.06225774829855,5.039190761930022
3.3580551000516055,9.695359714832659,6.526707407442132,2.9991973143322337,8.06225774829855,5.530727531315391
2.9704275357474,9.38083151964686,6.175629527697129,2.549038105676658,8.12403840463596,5.336538255156309
3.178323388137863,9.38083151964686,6.279577453892362,2.652591496269932,8.12403840463596,5.388314950452946
2.3359545526301084,9.38083151964686,5.858393036138484,2.103553390593274,7.3484692283495345,4.726011309471405
3.1080551000516055,10.04987562112089,6.578965360586247,2.8873152563598103,8.06225774829855,5.47478650232918
3.065161881238153,9.38083151964686,6.222996700442506,2.963251668049753,8.12403840463596,5.543645036342857
2.4619588451128367,9.38083151964686,5.9213951823798485,2.5651618812381534,8.06225774829855,5.313709814768352
3.1080551000516055,10.04987562112089,6.578965360586247,2.0590169943749475,7.3484692283495345,4.703743111362241
2.7882456112707374,9.38083151964686,6.084538565458798,2.652591496269932,8.06225774829855,5.35742462228424
2.203139800010316,9.38083151964686,5.791985659828588,2.796714301905301,8.12403840463596,5.460376353270631
2.844423243264672,9.38083151964686,6.1126273814557655,2.457106781186548,6.164414002968976,4.310760392077762
2.4306888981208616,9.38083151964686,5.90576020888386,2.474744871391589,8.12403840463596,5.299391638013775
2.2825991113092616,9.38083151964686,5.8317153154780605,2.2318616595847436,6.164414002968976,4.19813783127686
2.489705892495809,9.38083151964686,5.9352687060713345,1.8535533905932737,8.12403840463596,4.988795897614617
2.040569415042095,10.04987562112089,6.045222518081492,2.4616084906448794,8.12403840463596,5.29282344764042
3.7162835116828403,10.04987562112089,6.883079566401865,4.241225053453526,8.366600265340756,6.303912659397141
5.924700372753049,9.38083151964686,7.652765946199954,4.765914117075079,12.083045973594572,8.424480045334825
5.518357447527164,8.12403840463596,6.821197926081562,2.839793400779363,26.645825188948457,14.74280929486391
2.4327095881821235,9.38083151964686,5.906770553914491,2.40860340379199,26.645825188948457,14.527214296370223
4.376793685319949,10.677078252031311,7.52693596867563,2.2969001819659103,6.4031242374328485,4.350012209699379
2.9760890888015004,9.273618495495704,6.124853792148603,2.4125703849682214,8.06225774829855,5.237414066633385
2.9577675802904153,9.38083151964686,6.169299549968637,2.5651618812381534,8.12403840463596,5.3446001429370575
2.982050807568877,9.38083151964686,6.181441163607868,1.5606601717798212,8.12403840463596,4.842349288207891
2.7910678019438246,9.38083151964686,6.085949660795342,1.6035533905932737,8.12403840463596,4.863795897614617
2.6446211925370986,9.38083151964686,6.012726356091979,1.6625703849682212,7.3484692283495345,4.505519806658878
2.7910678019438246,10.04987562112089,6.4204717115323575,1.8090169943749475,8.12403840463596,4.966527699505454
2.6446211925370986,10.04987562112089,6.347248406828994,2.25,8.12403840463596,5.18701920231798
2.6446211925370986,10.04987562112089,6.347248406828994,1.75,8.12403840463596,4.93701920231798
2.6446211925370986,10.04987562112089,6.347248406828994,2.0,8.12403840463596,5.06201920231798
2.05669319060359,10.04987562112089,6.0532844058622395,1.8090169943749475,8.12403840463596,4.966527699505454
2.0325991113092616,10.04987562112089,6.041237366215076,2.25,8.12403840463596,5.18701920231798
2.6446211925370986,10.488088481701515,6.566354837119307,2.0,8.12403840463596,5.06201920231798
2.2825991113092616,10.04987562112089,6.166237366215076,1.5590169943749475,8.12403840463596,4.841527699505454
1.8941228056353687,10.04987562112089,5.97199921337813,1.6035533905932737,8.12403840463596,4.863795897614617
2.5318767787311365,10.488088481701515,6.509982630216326,2.0,8.12403840463596,5.06201920231798
2.1361525019025356,10.04987562112089,6.093014061511713,1.8090169943749475,8.12403840463596,4.966527699505454
1.9976761962286425,10.04987562112089,6.023775908674766,1.6035533905932737,8.06225774829855,4.832905569445911
2.5318767787311365,10.677078252031311,6.604477515381224,2.103553390593274,8.12403840463596,5.113795897614617
2.0325991113092616,10.04987562112089,6.041237366215076,2.4616084906448794,5.196152422706632,3.8288804566757557
1.8512295868219162,10.04987562112089,5.950552603971403,1.8106601717798212,7.810249675906654,4.8104549238432375
2.077135507527588,10.488088481701515,6.282611994614552,1.6035533905932737,7.810249675906654,4.7069015332499635
2.203139800010316,10.04987562112089,6.126507710565603,1.8090169943749475,8.12403840463596,4.966527699505454
2.2561448868632055,10.488088481701515,6.372116684282361,2.2071067811865475,5.196152422706632,3.70162960194659
2.077135507527588,10.04987562112089,6.063505564324239,1.1035533905932737,6.164414002968976,3.633983696781125
1.7476761962286425,10.488088481701515,6.117882338965079,1.25,8.12403840463596,4.68701920231798
2.402591496269932,10.488088481701515,6.445339988985724,1.6035533905932737,5.196152422706632,3.399852906649953
1.7476761962286425,10.488088481701515,6.117882338965079,1.5,8.12403840463596,4.81201920231798
2.152591496269932,10.488088481701515,6.320339988985724,1.2071067811865475,5.196152422706632,3.20162960194659
1.9735821169343142,10.488088481701515,6.230835299317915,1.2071067811865475,6.557438524302,3.882272652744274
1.6441228056353687,10.677078252031311,6.16060052883334,2.0,8.12403840463596,5.06201920231798
1.6441228056353687,10.488088481701515,6.066105643668442,2.3871273140939904,5.196152422706632,3.791639868400311
1.7476761962286425,10.677078252031311,6.212377224129977,1.9571067811865475,12.083045973594572,7.02007637739056
1.7476761962286425,10.488088481701515,6.117882338965079,1.2071067811865475,8.06225774829855,4.6346822647425485
1.6441228056353687,10.677078252031311,6.16060052883334,2.0590169943749475,5.196152422706632,3.6275847085407897
2.2561448868632055,10.677078252031311,6.466611569447259,1.3106601717798212,12.083045973594572,6.696853072687197
1.540569415042095,10.488088481701515,6.014328948371805,1.9571067811865475,5.744562646538029,3.8508347138622883
1.3106601717798212,10.488088481701515,5.899374326740668,1.6625703849682212,8.12403840463596,4.893304394802091
2.3693063937629155,10.677078252031311,6.523192322897113,1.1035533905932737,12.083045973594572,6.593299682093923
2.731861659584744,10.488088481701515,6.60997507064313,1.540569415042095,5.196152422706632,3.3683609188743633
4.226237781401284,9.38083151964686,6.803534650524072,1.4571067811865475,5.196152422706632,3.32662960194659
2.152591496269932,10.677078252031311,6.414834874150621,1.1035533905932737,12.083045973594572,6.593299682093923
4.663253805850106,9.848857801796104,7.256055803823105,1.2071067811865475,8.12403840463596,4.665572592911254
1.6441228056353687,10.488088481701515,6.066105643668442,1.2071067811865475,5.196152422706632,3.20162960194659
2.152591496269932,10.04987562112089,6.1012335586954105,1.5,8.12403840463596,4.81201920231798
1.6441228056353687,10.488088481701515,6.066105643668442,1.2071067811865475,5.196152422706632,3.20162960194659
2.152591496269932,10.770329614269007,6.46146055526947,1.2071067811865475,8.12403840463596,4.665572592911254
13.111434990828116,25.03996805109783,19.075701520962973,1.2071067811865475,12.083045973594572,6.64507637739056
1.540569415042095,25.03996805109783,13.290268733069963,1.75,8.12403840463596,4.93701920231798
1.7476761962286425,24.779023386727733,13.263349791478188,1.1035533905932737,5.196152422706632,3.149852906649953
1.540569415042095,10.488088481701515,6.014328948371805,1.2071067811865475,12.083045973594572,6.64507637739056
1.540569415042095,10.488088481701515,6.014328948371805,1.2865660924854931,8.12403840463596,4.705302248560727
1.6441228056353687,10.488088481701515,6.066105643668442,1.7071067811865475,5.196152422706632,3.45162960194659
2.049038105676658,10.488088481701515,6.268563293689087,1.2071067811865475,12.083045973594572,6.64507637739056
1.540569415042095,10.488088481701515,6.014328948371805,2.0,12.083045973594572,7.041522986797286
1.540569415042095,10.488088481701515,6.014328948371805,1.2071067811865475,5.196152422706632,3.20162960194659
1.540569415042095,10.488088481701515,6.014328948371805,1.2071067811865475,12.083045973594572,6.64507637739056
1.540569415042095,10.488088481701515,6.014328948371805,1.6441228056353687,12.083045973594572,6.863584389614971
1.540569415042095,10.488088481701515,6.014328948371805,1.4125703849682212,8.12403840463596,4.768304394802091
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,5.196152422706632,3.149852906649953
1.6441228056353687,10.488088481701515,6.066105643668442,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,10.488088481701515,6.014328948371805,1.3106601717798212,6.557438524302,3.9340493480409107
1.540569415042095,10.488088481701515,6.014328948371805,1.25,8.12403840463596,4.68701920231798
1.6441228056353687,10.488088481701515,6.066105643668442,1.1035533905932737,5.196152422706632,3.149852906649953
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,5.196152422706632,3.149852906649953
1.540569415042095,10.488088481701515,6.014328948371805,1.1035533905932737,8.12403840463596,4.613795897614617
1.8843297969976889,10.488088481701515,6.186209139349602,1.1035533905932737,5.196152422706632,3.149852906649953
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,7.810249675906654,4.4569015332499635
1.8512295868219162,12.083045973594572,6.967137780208244,1.1035533905932737,8.12403840463596,4.613795897614617
1.6441228056353687,10.488088481701515,6.066105643668442,1.1035533905932737,8.12403840463596,4.613795897614617
1.7807764064044151,12.083045973594572,6.931911189999494,1.0,5.196152422706632,3.098076211353316
1.3106601717798212,12.083045973594572,6.696853072687197,1.1035533905932737,8.12403840463596,4.613795897614617
2.152591496269932,12.083045973594572,7.117818734932252,1.1035533905932737,12.083045973594572,6.593299682093923
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,8.12403840463596,4.613795897614617
2.049038105676658,12.083045973594572,7.066042039635615,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,5.196152422706632,3.149852906649953
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,8.12403840463596,4.613795897614617
1.7807764064044151,12.083045973594572,6.931911189999494,1.1035533905932737,8.12403840463596,4.613795897614617
1.540569415042095,12.083045973594572,6.811807694318333,1.0,12.083045973594572,6.541522986797286
2.049038105676658,12.083045973594572,7.066042039635615,1.0,12.083045973594572,6.541522986797286
1.6441228056353687,12.083045973594572,6.863584389614971,1.3090169943749475,8.12403840463596,4.716527699505454
1.540569415042095,12.083045973594572,6.811807694318333,1.1035533905932737,12.083045973594572,6.593299682093923
1.540569415042095,12.083045973594572,6.811807694318333,1.0,8.12403840463596,4.56201920231798
