sizes_3D,dt_scipy_3D,dt_tfa_3D,dt_fastgeodis_3D,dt_pydt_single_3D,dt_pydt_multi_3D,dt_pydt_cuda_3D
1,34584.099921630695,912355.0000367686,190415.50003748853,127032.5000405137,52734.40001474228,322879.19993905234
8,29067.700052110013,954109.2000290519,302693.600042403,70527.49997455976,58341.09997522319,249209.4000444922
64,35501.99999153847,908089.1999474261,286079.80002561817,80060.1000264578,71337.20000638277,248122.79998513986
512,105899.0000274207,973621.2999996496,294410.1000139199,138737.10004190798,119283.20000151871,258771.6000562068
4096,617871.3999361207,1091500.3000263823,300243.00003788085,483333.3000533458,477750.20002518425,263658.0999933358
32768,4843863.899986899,1519587.5000244996,462804.4000128284,2881571.8999794624,2911874.3000253746,293755.59997788514
262144,48233312.200045474,3946920.1999963843,866532.3999593966,27201051.50001473,25635597.000018604,335908.6000273237
2097152,410748506.3999775,19097793.600030854,1912669.800003641,232196715.89995414,230006331.99999356,644689.7000387253
16777216,4632948606.800074,176612871.19999543,18603198.700020585,3518972155.7000666,3678161293.700032,5196591.399999307
