Loss Function,Minimum Time (s),Standard Deviation (s)
Dice Loss,0.001286239000137357,0.0005553864347083228
HD Loss (SciPy),16.21868726699995,0.23432210304542378
HD Loss (PyDT),0.02617953200001466,0.0004845163863793632
