epoch_idx,Dice_times,Dice_HD_Scipy_times,Dice_HD_Felzenszwalb_GPU_times,Dice_HD_Felzenszwalb_CPU_times
105,5.73E+09,8.56E+09,8.32E+09,6.83E+09
106,5.39E+09,8.67E+09,7.37E+09,7.08E+09
107,5.81E+09,7.84E+09,7.13E+09,6.11E+09
108,5.24E+09,8.78E+09,7.87E+09,7.39E+09
109,6.05E+09,8.07E+09,7.36E+09,6.80E+09
110,5.55E+09,8.19E+09,6.78E+09,6.27E+09
111,6.73E+09,8.41E+09,7.34E+09,5.87E+09
112,6.11E+09,8.15E+09,7.26E+09,6.54E+09
113,6.16E+09,8.31E+09,7.37E+09,6.07E+09
114,5.57E+09,8.63E+09,7.05E+09,6.52E+09
115,6.25E+09,8.20E+09,7.23E+09,6.72E+09
116,5.94E+09,8.60E+09,7.02E+09,7.30E+09
117,5.44E+09,8.09E+09,7.28E+09,6.57E+09
118,5.83E+09,8.41E+09,6.86E+09,6.46E+09
119,6.02E+09,8.16E+09,7.11E+09,5.97E+09
120,5.34E+09,8.07E+09,6.68E+09,6.87E+09
121,5.56E+09,9.26E+09,7.13E+09,6.82E+09
122,6.19E+09,7.95E+09,6.70E+09,6.94E+09
123,6.08E+09,8.91E+09,6.74E+09,6.63E+09
124,5.27E+09,8.22E+09,6.71E+09,6.13E+09
125,6.21E+09,8.05E+09,7.48E+09,6.38E+09
126,5.40E+09,8.32E+09,6.83E+09,6.28E+09
127,5.49E+09,8.05E+09,6.87E+09,7.07E+09
128,5.70E+09,8.06E+09,6.87E+09,6.90E+09
129,5.68E+09,8.09E+09,7.56E+09,6.23E+09
130,5.79E+09,8.35E+09,8.57E+09,6.71E+09
131,5.57E+09,8.46E+09,8.35E+09,6.89E+09
132,6.87E+09,8.10E+09,7.26E+09,8.04E+09
133,6.05E+09,8.52E+09,7.49E+09,6.51E+09
134,5.49E+09,9.98E+09,6.96E+09,5.97E+09
135,5.53E+09,8.56E+09,7.29E+09,6.40E+09
136,5.66E+09,8.02E+09,7.12E+09,7.77E+09
137,5.48E+09,8.02E+09,6.50E+09,6.95E+09
138,5.28E+09,7.95E+09,7.08E+09,6.96E+09
139,5.51E+09,8.08E+09,7.42E+09,7.00E+09
140,5.46E+09,7.99E+09,7.97E+09,7.33E+09
141,6.05E+09,8.18E+09,7.23E+09,6.72E+09
142,5.62E+09,8.16E+09,6.76E+09,6.55E+09
143,6.02E+09,8.06E+09,6.30E+09,6.38E+09
144,5.15E+09,7.63E+09,5.78E+09,6.33E+09
145,5.57E+09,7.80E+09,5.48E+09,6.39E+09
146,5.36E+09,8.60E+09,5.41E+09,6.50E+09
147,5.96E+09,8.37E+09,6.85E+09,7.04E+09
148,5.81E+09,8.01E+09,6.84E+09,6.79E+09
149,5.72E+09,8.75E+09,7.01E+09,6.17E+09
150,5.52E+09,8.25E+09,6.81E+09,6.52E+09
151,5.44E+09,8.06E+09,6.97E+09,6.04E+09
152,5.95E+09,8.56E+09,7.08E+09,6.91E+09
153,5.53E+09,8.14E+09,6.54E+09,6.34E+09
154,5.74E+09,8.58E+09,7.08E+09,7.00E+09
155,5.42E+09,8.69E+09,7.09E+09,7.28E+09
156,5.75E+09,8.09E+09,5.88E+09,7.80E+09
157,5.75E+09,8.11E+09,5.71E+09,6.38E+09
158,5.44E+09,8.29E+09,7.28E+09,6.45E+09
159,6.02E+09,8.45E+09,7.10E+09,6.00E+09
160,6.03E+09,8.15E+09,6.77E+09,6.20E+09
161,5.94E+09,7.98E+09,7.02E+09,5.87E+09
162,5.96E+09,8.20E+09,6.96E+09,6.20E+09
163,5.53E+09,9.01E+09,6.67E+09,6.46E+09
164,5.60E+09,8.25E+09,6.67E+09,6.82E+09
165,5.70E+09,7.72E+09,7.71E+09,6.40E+09
166,5.86E+09,8.46E+09,6.73E+09,5.82E+09
167,5.91E+09,8.10E+09,7.41E+09,6.05E+09
168,5.28E+09,7.97E+09,6.88E+09,6.78E+09
169,5.71E+09,8.15E+09,6.67E+09,6.54E+09
170,5.66E+09,8.80E+09,7.28E+09,6.54E+09
171,5.79E+09,8.53E+09,6.69E+09,5.83E+09
172,5.75E+09,7.79E+09,6.97E+09,6.03E+09
173,5.85E+09,8.22E+09,7.48E+09,6.64E+09
174,5.38E+09,8.44E+09,7.14E+09,6.99E+09
175,6.09E+09,8.42E+09,7.40E+09,6.51E+09
176,5.78E+09,8.41E+09,6.69E+09,6.37E+09
177,5.74E+09,8.02E+09,6.81E+09,6.55E+09
178,5.60E+09,8.44E+09,6.80E+09,6.88E+09
179,5.84E+09,8.41E+09,7.53E+09,6.31E+09
180,5.50E+09,8.31E+09,7.05E+09,6.71E+09
181,5.97E+09,8.01E+09,7.33E+09,7.01E+09
182,5.97E+09,8.34E+09,6.72E+09,6.56E+09
183,5.81E+09,8.69E+09,6.88E+09,5.99E+09
184,5.48E+09,7.77E+09,7.03E+09,5.85E+09
185,6.12E+09,8.11E+09,7.05E+09,5.99E+09
186,6.09E+09,8.75E+09,6.77E+09,6.20E+09
187,5.43E+09,8.12E+09,6.98E+09,6.51E+09
188,5.76E+09,8.12E+09,8.10E+09,7.10E+09
189,6.02E+09,8.57E+09,8.74E+09,6.61E+09
190,5.84E+09,8.46E+09,6.79E+09,6.86E+09
191,5.83E+09,7.98E+09,6.83E+09,6.09E+09
192,6.16E+09,8.70E+09,6.94E+09,6.09E+09
193,5.83E+09,8.46E+09,7.13E+09,6.66E+09
194,5.89E+09,8.03E+09,7.17E+09,6.62E+09
