epoch_idx,dice_metric_of_dice_model_train_set,hd_metric_of_dice_model_train_set,dice_metric_of_HD_Dice_model_train_set,hd_metric_of_HD_Dice_model_train_set,dice_metric_of_dice_model_valid_set,hd_metric_of_dice_model_valid_set,dice_metric_of_HD_Dice_model_valid_set,hd_metric_of_HD_Dice_model_valid_set
10,0.6585208358821051,11.25289671401853,0.2694191357261032,18.090644755192066,0.51661918328585,7.874007874011811,0.32112068965517243,18.384776310850235
20,0.6952963916107258,8.987218079563005,0.4339164300352903,22.51733742735873,0.6631193094477947,9.273618495495704,0.40786953746155186,21.400934559032695
30,0.7796685881885465,6.727756947389135,0.7456359453320789,8.08750034047349,0.752821000118779,8.602325267042627,0.691801480669043,11.916375287812984
40,0.8386139677577545,6.578826162219183,0.8024394925456073,7.89494067621304,0.8032159264931087,7.0,0.7681004132863921,10.099504938362077
50,0.875293801022184,5.024754878398197,0.8364312648971044,4.917253596469467,0.7900637502747857,5.744562646538029,0.8479182248815756,8.06225774829855
60,0.8601926777675403,6.461758815404101,0.8313889812244147,5.0793197657752,0.83125,7.0,0.8391465440143094,8.06225774829855
70,0.8496829378208666,17.642374595715076,0.9133982778770445,4.292309692642856,0.7756517272377038,7.810249675906654,0.9025936599423631,5.744562646538029
80,0.9254895413451407,4.14881039515431,0.8980620147751495,3.677430031867816,0.7940997566909975,5.744562646538029,0.8382070678559331,7.0710678118654755
90,0.9127190320282531,7.141050970471436,0.908849057651278,3.5250338087895186,0.8267561168113654,5.744562646538029,0.8770134546143642,5.744562646538029
100,0.9307464658364354,7.951262614787554,0.9037663117451751,4.727297163550888,0.8710867753838829,5.0,0.8353055826256439,7.0710678118654755
110,0.9323379806191638,7.719787949192257,0.9439179348555159,4.142648591889994,0.8239082310324009,5.0,0.903851640513552,5.385164807134504
120,0.938272292864337,3.6893798101964053,0.924159363810086,4.777906369786259,0.8217242075509792,5.0,0.8842963970088376,7.0710678118654755
130,0.9382947516976348,3.73775960138084,0.9262623183384049,4.499554999726006,0.788041053101294,5.0,0.8462635482030805,5.656854249492381
140,0.945146869425776,3.5985780052047422,0.9400726655828708,7.527717116053835,0.8795484568271886,5.0,0.8742598397770811,5.744562646538029
150,0.9385785636782399,3.98775960138084,0.9468638808779151,4.499554999726006,0.818830242510699,5.0,0.8741999301757244,5.385164807134504
160,0.9353854007558102,3.526346383927595,0.9454810523479554,3.661767699300455,0.8173273395995097,5.0,0.8448741646523532,5.385164807134504
170,0.9545774578096372,3.594017750485475,0.9431725888522224,4.377505583323703,0.8170282439623414,5.0,0.8856671381423856,5.385164807134504
180,0.9472316761124446,3.883348275183579,0.9494268931575403,3.931906902514357,0.8849215922798552,5.0,0.8458036984352774,5.385164807134504
190,0.9509345371003253,3.90860340379199,0.9531551575759539,3.931906902514357,0.8857246289368891,5.0,0.8452550584212026,5.385164807134504
200,0.953568317942625,3.594017750485475,0.9529699904347597,4.377505583323703,0.886822079961348,5.0,0.8966191673651858,5.385164807134504
210,0.9471013824454484,4.0281932068349695,0.9540907896711401,4.061017857173594,0.7886056971514243,5.0,0.8853932584269663,5.385164807134504
220,0.9547340257272454,3.923917690225674,0.9521488701898394,4.05395631891666,0.8148756934456544,5.0,0.8966965285554311,5.385164807134504
230,0.942567357488636,3.594017750485475,0.9393840169349628,4.377505583323703,0.7872691788019817,5.0,0.8969866853538893,5.385164807134504
240,0.9568058724889631,4.094017750485476,0.961857579391132,4.499554999726006,0.8692350956130483,5.0,0.8842975206611571,5.385164807134504
250,0.9464759970666078,3.90860340379199,0.9443683610014464,3.7151231406213023,0.8896158972494851,5.0,0.8957865168539326,5.385164807134504
260,0.9552438971096688,4.068762621877064,0.9591704114967483,3.9129280703619935,0.8118157405494733,5.0,0.8972365115444431,5.385164807134504
270,0.9563840690204336,3.58113883008419,0.9597524495823847,3.9319069025143576,0.7864457831325301,5.0,0.8958626512806079,5.385164807134504
280,0.9595913399517607,3.949172818834085,0.9552192080800563,3.7838171157027576,0.7869840313347394,5.0,0.8989329816568756,5.385164807134504
290,0.9540967502052724,4.0558837014757785,0.9553381545956049,4.05395631891666,0.8713681241184768,5.0,0.9000960614793467,5.385164807134504
300,0.9527688382376412,3.741298048169264,0.9537840022317153,4.499554999726007,0.891504854368932,5.0,0.8443995381062356,5.385164807134504
310,0.9602701818029371,3.30712259181977,0.9581079713629534,4.229415796512104,0.8722292813779472,5.0,0.8442196531791908,5.385164807134504
320,0.9614122460273202,3.4519675234711604,0.9514877998496128,4.420398802137156,0.8102840555670744,5.0,0.8961810466760962,5.385164807134504
330,0.9593149172886162,3.766553176777675,0.9635400570653044,4.499554999726007,0.7850665054413543,5.0,0.8824311490978157,5.385164807134504
340,0.9496716817659295,3.121708245126285,0.9605101893804004,3.661767699300455,0.809049398090494,5.0,0.8958776030599235,5.385164807134504
350,0.9503803556345145,3.555883701475779,0.9592820812617437,3.8933201199676026,0.8093853820598007,5.0,0.8447276940903824,5.385164807134504
360,0.9645076876196865,3.8861429798206544,0.9653110745147293,3.7483369953325103,0.7856494096276113,5.0,0.8444702130743587,5.385164807134504
370,0.9557535642761361,3.22598376173558,0.9588440836179428,4.377505583323703,0.7855844942459116,5.0,0.8444702130743587,5.385164807134504
380,0.9537361677093168,3.22598376173558,0.9593614727191125,4.377505583323703,0.894756053047816,5.0,0.9031713493307609,5.385164807134504
390,0.960574129028676,3.72598376173558,0.9683886361567994,4.499554999726006,0.8084929225645295,5.0,0.8953570921482323,5.385164807134504
400,0.9646461024065521,4.200728633127169,0.9555321336962702,3.644480491029141,0.7862780813600486,5.0,0.8958362938752309,5.385164807134504
410,0.954674374814137,3.22598376173558,0.9610654011275815,3.8775055833237038,0.8960643353235044,5.0,0.882262996941896,5.385164807134504
420,0.5606834602841548,29.014857741546514,0.9671933041460473,3.4319069025143576,0.3984102522507908,23.40939982143925,0.9048942598187312,5.385164807134504
430,0.856873562727909,11.151272854400434,0.9676343896861435,3.1578128232200293,0.8544198895027625,6.782329983125268,0.8950889679715303,5.385164807134504
440,0.922686006700734,2.9419572339080924,0.9624242653784937,3.603911075987046,0.8386429458005792,4.123105625617661,0.8950590915563149,5.385164807134504
