"batch_size","sizes","ep_dice","ep_dice_std","ep_scipy","ep_scipy_std","ep_maurer","ep_maurer_std","ep_fenz","ep_fenz_std","ep_proposed","ep_proposed_std"
4,262144.0,1.51727575e8,2.8052156167289495e7,1.412696587e9,1.0028217790732522e7,6.50291314e8,5.787219986244892e7,1.829124469e9,5.3474320972594875e8,1.58895311e8,3.28195318179778e7
4,884736.0,4.62405349e8,2.7699799456963707e7,4.95947915e9,2.721086406173763e7,2.058625177e9,1.1757411179788628e8,1.0755597801e10,NaN,4.71224034e8,3.529901432216572e7
4,2.097152e6,1.052736302e9,6.801991671355708e7,1.2514997499e10,NaN,8.112979688e9,NaN,1.1158039615e10,NaN,1.06703274e9,4.857393780874686e7
