Dice,Scipy,Felzenszwalb_cpu,Felzenszwalb_gpu
3287000000,5967000000,3800000000,4892000000
2781000000,5900000000,3723000000,5062000000
2155000000,6380000000,3265000000,4670000000
2943000000,6006000000,3759000000,4859000000
3045000000,5069000000,3634000000,5092000000
2765000000,6299000000,3834000000,4932000000
2864000000,5188000000,4243000000,4910000000
2818000000,5772000000,4235000000,4889000000
3359000000,6338000000,4588000000,5198000000
2660000000,5750000000,4290000000,5170000000
2948000000,5577000000,4239000000,4856000000
2815000000,6013000000,4532000000,5094000000
2607000000,5171000000,4225000000,4446000000
2825000000,6231000000,4768000000,4859000000
3013000000,5973000000,4340000000,4910000000
2983000000,5190000000,4278000000,6043000000
3332000000,6189000000,4200000000,6336000000
2740000000,6246000000,4299000000,5100000000
3234000000,6003000000,4289000000,5246000000
2908000000,5204000000,4272000000,5110000000
2764000000,6127000000,4218000000,5637000000
3236000000,5864000000,4187000000,5040000000
2548000000,5041000000,4886000000,4864000000
3014000000,6217000000,4437000000,4829000000
2900000000,5791000000,3802000000,4868000000
2991000000,5872000000,4624000000,4924000000
2918000000,5720000000,4482000000,4894000000
2753000000,5819000000,3935000000,5119000000
2883000000,5832000000,4510000000,4692000000
2811000000,5843000000,4353000000,4853000000
2941000000,5838000000,3737000000,4882000000
2848000000,5781000000,4569000000,4999000000
2724000000,5193000000,3795000000,5194000000
3537000000,6279000000,4637000000,5049000000
3366000000,5803000000,4609000000,4946000000
3081000000,5869000000,4360000000,4911000000
3331000000,5931000000,4507000000,4921000000
3263000000,5815000000,3857000000,4866000000
3204000000,5802000000,4684000000,4909000000
3078000000,5939000000,4429000000,4854000000
3151000000,5807000000,4557000000,4899000000
3209000000,5854000000,4525000000,4906000000
2713000000,6206000000,3838000000,4541000000
3269000000,6074000000,4711000000,4928000000
3276000000,5253000000,4538000000,5330000000
3272000000,6159000000,4485000000,5214000000
3893000000,5998000000,4484000000,4913000000
2861000000,5146000000,4822000000,4867000000
3139000000,5929000000,4401000000,4958000000
3768000000,6268000000,4414000000,4899000000
2694000000,5352000000,4525000000,4712000000
3306000000,6274000000,4510000000,4940000000
2823000000,5109000000,3948000000,4541000000
3295000000,6199000000,4742000000,4906000000
3040000000,5965000000,4325000000,4967000000
3609000000,5837000000,4716000000,5037000000
2736000000,5134000000,4581000000,4923000000
3185000000,6253000000,4464000000,5690000000
3070000000,5974000000,4472000000,4980000000
3100000000,5804000000,4420000000,4836000000
3081000000,5119000000,4343000000,4895000000
3299000000,6160000000,4507000000,4896000000
2792000000,5157000000,4842000000,4407000000
2924000000,6114000000,4513000000,5059000000
2722000000,5817000000,3974000000,5020000000
2702000000,5667000000,4482000000,4831000000
2747000000,5649000000,5010000000,4821000000
3509000000,5706000000,4376000000,4963000000
2865000000,5810000000,3955000000,5097000000
3122000000,5555000000,4980000000,5658000000
2968000000,5767000000,4661000000,4850000000
3025000000,5722000000,4547000000,4854000000
3153000000,5090000000,3999000000,4910000000
2898000000,6152000000,4726000000,5525000000
3058000000,5667000000,4541000000,5558000000
