,time_step_dice,time_step_dice_hd
0,29241507700,21317665300
1,419526300,1499499600
2,180410800,1442593600
3,180208500,1461612900
4,21044494400,21266841500
5,406058000,1309786100
6,182633600,1297090200
7,179274800,1288632100
8,19818921700,21042533200
9,500152000,984818200
10,181120300,1065845800
11,179720900,1020405800
12,19837098800,20732075200
13,388485200,947597100
14,182078200,942395600
15,180451400,890245600
16,19836543700,20810738800
17,527711700,951602300
18,184668300,915434000
19,179569500,947800600
20,19719235100,20900646900
21,391734400,968667000
22,181738700,969372200
23,178793700,946174000
24,19062673900,20820486400
25,476074000,971025800
26,182708600,940439300
27,179451900,945982500
28,21025111100,20800142600
29,388077100,998274500
30,183067900,932466400
31,179870700,1131004400
32,20061421400,21036170600
33,439114500,1197595700
34,183920300,1203396600
35,180716000,1190084800
36,19840002900,21225503300
37,397543600,1256904500
38,183115300,1199617900
39,180190600,1190337700
40,19845767300,20985032300
41,473674600,1179476200
42,183233100,1242706900
43,179770000,1438203500
44,25346716400,21119791600
45,388615900,1194351600
46,182155300,1189168700
47,180728600,1288109400
48,19734319500,21015387700
49,518834500,1206536300
50,187620300,1229242300
51,178205700,1223895700
52,19783364900,21020452900
53,426641600,1230197600
54,182951200,1184866600
55,180002800,1263733400
56,19924951300,21092401700
57,389413500,1214489600
58,181048000,1202336300
59,181372500,1234710300
60,19836868200,21218761400
61,478699000,1245902600
62,182214500,1184694300
63,180203700,1258111200
64,20046226800,21082789700
65,488941700,1242126600
66,182837300,1196317400
67,180581300,1206006800
68,19704041000,21043615700
69,498223700,1234122600
70,183963300,1191325800
71,179233700,1213112100
72,19799865900,23685854400
73,409668000,1559156000
74,180623700,1514410700
75,182671100,1490558200
76,19876159800,21434235200
77,410157000,1477566100
78,181189200,1381736500
79,180736500,1394980300
80,19939138000,21291327300
81,493187900,1231733400
82,181738600,1193720600
83,180381300,1228503000
84,19965879700,21245165000
85,412015100,1212340200
86,183119100,1205771600
87,179552700,1201982300
88,19753485200,21409751200
89,379128500,1453458000
90,181332900,1384948400
91,179561000,1366894900
92,21362232200,21043295100
93,452301900,1249093300
94,182376800,1235840300
95,179278100,1192908100
96,19715667300,21039229700
97,406508500,1215169400
98,182317900,1200827900
99,177749400,1232237900
100,19837031000,21369572900
101,384145900,1321026300
102,181045200,1372892300
103,179455100,1366370400
104,19934713500,21123769800
105,463273100,1248092000
106,181458600,1199443400
107,181520000,1224432100
108,19973716300,21066331200
109,501174000,1217931400
110,184140500,1236299800
111,179384200,1304400800
112,20046420300,21290061500
113,474778700,1197185100
114,180788100,1203730200
115,179035400,1205397700
116,19820734200,21189927200
117,477293000,1209694800
118,184478600,1163159100
119,179221600,1221406600
120,19915437300,21219198300
121,498222800,1222679800
122,184245900,1189603000
123,179152600,1218001500
124,20022206300,22127754800
125,425551400,1518068800
126,182326900,1426044700
127,178953500,1253848700
128,19979418900,21302655700
129,410271500,1247291800
130,181771600,1177258200
131,179691700,1272030700
132,20001821600,29634019300
133,501881300,1240647000
134,183826900,1222118400
135,179196700,1278061300
136,20036111500,21246188600
137,504568100,1199294300
138,185655600,1175576200
139,177498000,1203569000
140,19964099500,21109036400
141,410033600,1244474900
142,182956000,1199724300
143,177766100,1262648500
144,25115866800,21247042900
145,499986800,1249067200
146,183643200,1196840500
147,179393900,1284597700
148,20024585200,21472847900
149,381049300,1261216700
150,181401100,1283515700
151,179040500,1244725100
152,20066835100,21212482500
153,500109500,1249303700
154,184872900,1219115900
155,178496400,1302605000
156,20127179700,23107853900
157,440610700,1237596500
