,train_metric_epoch_dice,valid_metric_epoch_dice,all_metric_epoch_dice,train_dice_metric_epoch_dice_hd,valid_dice_metric_epoch_dice_hd,all_dice_metric_epoch_dice_hd
180,0.9436590671539307,0.7600454092025757,0.9069363474845886,0.9571681618690491,0.7393526434898376,0.9136050343513489
181,0.8896970748901367,0.691935658454895,0.8501448035240173,0.9593870043754578,0.7410093545913696,0.915711522102356
182,0.9416109919548035,0.7545211315155029,0.9041930437088013,0.9618949294090271,0.7375014424324036,0.9170162081718445
183,0.9663580656051636,0.75821453332901,0.9247293472290039,0.9642241597175598,0.745256781578064,0.9204306602478027
184,0.9438672661781311,0.7343011498451233,0.9019541144371033,0.9609290957450867,0.736814558506012,0.9161062240600586
185,0.9543896317481995,0.7563892602920532,0.914789617061615,0.9650956392288208,0.7427502870559692,0.9206265807151794
186,0.9615429639816284,0.7524138689041138,0.9197171330451965,0.9642800688743591,0.7410216331481934,0.9196283221244812
187,0.9683120846748352,0.7509462237358093,0.9248389601707458,0.9640283584594727,0.7379022836685181,0.9188031554222107
188,0.9579771757125854,0.742142379283905,0.9148101806640625,0.9648697376251221,0.7465043067932129,0.9211966395378113
189,0.9595758318901062,0.7467391490936279,0.9170085191726685,0.9642620086669922,0.7364338636398315,0.918696403503418
190,0.9639448523521423,0.7532216310501099,0.9218002557754517,0.9634726047515869,0.7445441484451294,0.9196869134902954
191,0.9322119355201721,0.7250572443008423,0.890781044960022,0.9652496576309204,0.741249680519104,0.9204496741294861
192,0.959490180015564,0.7583298087120056,0.9192581176757812,0.9642617106437683,0.7387305498123169,0.9191555380821228
193,0.9593772888183594,0.7442014217376709,0.9163421988487244,0.9628756046295166,0.7454342842102051,0.9193873405456543
194,0.9299254417419434,0.7222010493278503,0.8883805274963379,0.9647865295410156,0.7372909784317017,0.919287383556366
195,0.961344301700592,0.7610878944396973,0.9212930798530579,0.9632371664047241,0.7435280680656433,0.9192953109741211
196,0.9383254647254944,0.7239855527877808,0.8954574465751648,0.9633026123046875,0.7419238090515137,0.9190268516540527
197,0.936863124370575,0.72958904504776,0.8954083323478699,0.96058589220047,0.7365387082099915,0.9157764315605164
198,0.9503780007362366,0.7575590014457703,0.9118142127990723,0.9615312814712524,0.7447368502616882,0.9181723594665527
199,0.9121819734573364,0.7029576301574707,0.8703371286392212,0.9617404341697693,0.7364683747291565,0.9166860580444336
200,0.9523082375526428,0.7581062316894531,0.9134678244590759,0.9562830924987793,0.7390093803405762,0.9128283858299255
201,0.959925651550293,0.7432461380958557,0.9165897369384766,0.9574348330497742,0.7396557331085205,0.9138790369033813
202,0.9324489831924438,0.7296419739723206,0.8918876051902771,0.9599930644035339,0.733325719833374,0.9146596193313599
203,0.9623427987098694,0.7561354041099548,0.9211012721061707,0.9577628374099731,0.7467973232269287,0.9155697226524353
204,0.8760180473327637,0.6667208075523376,0.8341585993766785,0.9630053043365479,0.734493613243103,0.9173030257225037
205,0.9603030681610107,0.7637279033660889,0.9209880828857422,0.9612638354301453,0.7436543107032776,0.9177419543266296
206,0.964107096195221,0.7447877526283264,0.9202432632446289,0.9604542851448059,0.7345867156982422,0.9152807593345642
207,0.870003342628479,0.661764919757843,0.8283557295799255,0.9626894593238831,0.7372214198112488,0.9175958633422852
208,0.9316892623901367,0.7664393782615662,0.8986393213272095,0.9621251821517944,0.7479277849197388,0.9192857146263123
209,0.9599889516830444,0.7503010034561157,0.9180513620376587,0.9631198048591614,0.7281848192214966,0.9161328673362732
210,0.9394223093986511,0.728118896484375,0.8971616625785828,0.9595305919647217,0.7512450814247131,0.9178735017776489
211,0.9488207101821899,0.763495683670044,0.9117557406425476,0.9650114178657532,0.734271764755249,0.9188634753227234
212,0.9678633213043213,0.7583760619163513,0.9259659051895142,0.9641209840774536,0.7430194616317749,0.9199007153511047
213,0.9701188802719116,0.7549113631248474,0.9270774126052856,0.9661797285079956,0.7428362369537354,0.9215111136436462
214,0.9725803732872009,0.7560172080993652,0.9292677044868469,0.9677576422691345,0.7402985095977783,0.9222658276557922
215,0.9656659960746765,0.749241054058075,0.9223810434341431,0.9648429751396179,0.7453953623771667,0.9209534525871277
216,0.9570397138595581,0.7445433139801025,0.9145404696464539,0.9686339497566223,0.7396913766860962,0.9228454828262329
217,0.9609683156013489,0.7628546357154846,0.9213456511497498,0.9657726883888245,0.7457643747329712,0.9217710494995117
218,0.9634165167808533,0.7404270172119141,0.9188186526298523,0.96796053647995,0.7394428253173828,0.9222570657730103
219,0.9690254330635071,0.7578895688056946,0.9267982840538025,0.9660190343856812,0.7446846961975098,0.9217521548271179
220,0.9702692627906799,0.7569174766540527,0.9275989532470703,0.9677978157997131,0.7411051988601685,0.9224593043327332
221,0.9593058824539185,0.7437168955802917,0.9161880612373352,0.9687490463256836,0.7427606582641602,0.9235513806343079
222,0.9735257625579834,0.7610660791397095,0.9310337901115417,0.9667790532112122,0.7442246675491333,0.9222682118415833
223,0.9711503386497498,0.751182496547699,0.9271567463874817,0.968524694442749,0.7404699325561523,0.9229137301445007
224,0.9733940958976746,0.7625383734703064,0.9312229156494141,0.9671761989593506,0.7451435327529907,0.9227696657180786
225,0.9736754298210144,0.7609400153160095,0.9311283230781555,0.9695267677307129,0.741132378578186,0.9238478541374207
226,0.9607402682304382,0.7415348291397095,0.9168992042541504,0.9643166065216064,0.7418681979179382,0.9198269248008728
227,0.9736647009849548,0.7570420503616333,0.9303402304649353,0.9644726514816284,0.7439268827438354,0.9203635454177856
228,0.9726420640945435,0.7540860772132874,0.9289308786392212,0.9695556163787842,0.7401608824729919,0.9236766695976257
229,0.9632114171981812,0.7457531094551086,0.9197198152542114,0.9654189348220825,0.7435954809188843,0.9210543036460876
230,0.9555143117904663,0.7396845817565918,0.9123483896255493,0.9569395184516907,0.7394466400146484,0.9134408831596375
231,0.9721711874008179,0.756506621837616,0.9290382266044617,0.9650110006332397,0.7407920360565186,0.9201671481132507
232,0.9711948037147522,0.7628205418586731,0.9295199513435364,0.9675776958465576,0.7429041266441345,0.9226430058479309
233,0.9176312685012817,0.7079447507858276,0.8756939768791199,0.9569419622421265,0.7388232946395874,0.9133182764053345
234,0.9523147344589233,0.7593584656715393,0.9137234687805176,0.9655203819274902,0.7426015138626099,0.9209365844726562
235,0.9443325400352478,0.7708001732826233,0.9096261262893677,0.9619823098182678,0.7367232441902161,0.9169304966926575
