,train_metric_epoch_hd,valid_metric_epoch_hd,all_metric_epoch_hd,train_hd_metric_epoch_dice_hd,valid_hd_metric_epoch_dice_hd,all_hd_metric_epoch_dice_hd
0,76.86752475253363,76.10025957105508,76.71407171623791,inf,inf,inf
1,76.86752475253363,76.10025957105508,76.71407171623791,inf,inf,inf
2,74.98769120196519,74.51356724985543,74.89286641154324,inf,inf,inf
3,inf,inf,inf,inf,inf,inf
4,inf,inf,inf,inf,inf,inf
5,inf,inf,inf,inf,inf,inf
6,inf,inf,inf,inf,inf,inf
7,inf,inf,inf,inf,inf,inf
8,inf,inf,inf,inf,inf,inf
9,39.72142169838098,40.93191225592613,39.96351980989001,13.3303707619074,10.878765234637392,12.840049656453397
10,41.74716826954681,42.67202420143142,41.93213945592373,14.158371535487163,10.72226790869038,13.471150810127806
11,36.19260602776823,37.48563038256822,36.45121089872823,11.378546529467815,8.794988103701355,10.861834844314524
12,33.31586919873111,34.93346385020466,33.63938812902582,11.878134310458051,9.467650603617136,11.396037569089868
13,27.296036992708615,29.667842507154667,27.770398095597823,10.455604117028566,8.055593180444207,9.975601929711694
14,17.49222808854415,19.207790673519447,17.83534060553921,inf,inf,inf
15,10.196250431301406,9.496110363289027,10.05622241769893,53.7992420182398,50.710602424608325,53.18151409951351
16,inf,inf,inf,53.08816859539111,50.24720650362771,52.51997617703843
17,8.595286227372869,11.717468118732963,9.219722605644886,46.828090614716984,44.85361288072831,46.43319506791925
18,9.494580593591104,14.700420345793447,10.535748544031573,36.54563619708238,36.28762930300349,36.4940348182666
19,13.56796169186673,19.124793692201184,14.679328091933622,29.92714520794402,21.067376470734377,28.15519146050209
20,10.868058259877925,12.458080541729668,11.186062716248273,12.253685976065487,12.112148596792215,12.225378500210834
21,inf,inf,inf,8.257509558148366,8.06305330980933,8.218618308480558
22,9.078822296095183,14.723113756926983,10.207680588261542,8.443131805649164,8.060402063329306,8.366585857185193
23,8.846228948369705,11.622432229362916,9.401469604568346,8.30075209052751,9.229037075564735,8.486409087534955
24,inf,inf,inf,7.955660432995643,7.633014093166093,7.8911311650297336
25,13.380162632383394,18.30552015496211,14.365234136899137,8.022622714803918,9.746086644177968,8.367315500678728
